user,if_move_x,d_dest,l_dest,s_dest,t_dest,date,home_dest,dest_dest,if_move_y,d_home,l_home,s_home,t_home,home_home,dest_home,user_dest,user_degree_dest,user_month,home_dest_user,home_dest_date,if_move
1,1,6.0,115.0,0.333333,r2u,0607,33,11,1,15,168,0.466667,r,33,11,1_11,1_6.0,1_0607,33_111,33_110607,1
1,0,0.0,0.0,0.0,r2r,0607,33,21,1,15,168,0.466667,r,33,11,1_21,1_0.0,1_0607,33_211,33_210607,0
1,0,0.0,0.0,0.0,r2r,0607,33,22,1,15,168,0.466667,r,33,11,1_22,1_0.0,1_0607,33_221,33_220607,0
1,0,0.0,0.0,0.0,r2r,0607,33,23,1,15,168,0.466667,r,33,11,1_23,1_0.0,1_0607,33_231,33_230607,0
1,0,0.0,0.0,0.0,r2r,0607,33,24,1,15,168,0.466667,r,33,11,1_24,1_0.0,1_0607,33_241,33_240607,0
1,0,0.0,0.0,0.0,r2r,0607,33,25,1,15,168,0.466667,r,33,11,1_25,1_0.0,1_0607,33_251,33_250607,0
1,0,0.0,0.0,0.0,r2r,0607,33,26,1,15,168,0.466667,r,33,11,1_26,1_0.0,1_0607,33_261,33_260607,0
1,0,0.0,0.0,0.0,r2r,0607,33,27,1,15,168,0.466667,r,33,11,1_27,1_0.0,1_0607,33_271,33_270607,0
1,0,0.0,0.0,0.0,r2r,0607,33,28,1,15,168,0.466667,r,33,11,1_28,1_0.0,1_0607,33_281,33_280607,0
1,0,0.0,0.0,0.0,r2r,0607,33,31,1,15,168,0.466667,r,33,11,1_31,1_0.0,1_0607,33_311,33_310607,0
